,a,b,c,d,e,f,X,Y,Sum_Total,Sum_ml,slots_usage
200,0,7,3,0,12,11,608,256,33,864,4
201,0,7,3,0,16,2,608,256,28,864,4
202,0,7,3,0,16,11,752,256,37,1008,4
203,0,7,3,3,0,11,608,256,24,864,4
204,0,7,3,4,0,2,608,256,16,864,4
205,0,7,3,4,0,11,752,256,25,1008,4
206,0,7,3,5,0,2,752,256,17,1008,4
207,0,7,3,5,0,11,896,256,26,1152,4
208,0,7,3,6,0,2,896,256,18,1152,4
209,0,7,11,0,26,0,936,360,44,1296,4
210,0,7,11,0,30,0,1080,360,48,1440,4
211,0,7,11,3,14,0,936,360,35,1296,4
212,0,7,11,4,10,0,936,360,32,1296,4
213,0,7,11,4,14,0,1080,360,36,1440,4
214,0,7,11,5,6,0,936,360,29,1296,4
215,0,7,11,5,10,0,1080,360,33,1440,4
216,0,7,11,5,14,0,1224,360,37,1584,4
217,0,7,11,6,2,0,936,360,26,1296,4
218,0,7,11,6,6,0,1080,360,30,1440,4
219,0,7,11,6,10,0,1224,360,34,1584,4
220,0,7,11,6,14,0,1368,360,38,1728,4
221,0,7,11,7,2,0,1080,360,27,1440,4
222,0,7,11,7,6,0,1224,360,31,1584,4
223,0,7,11,7,10,0,1368,360,35,1728,4
224,0,7,11,8,2,0,1224,360,28,1584,4
225,0,7,11,8,6,0,1368,360,32,1728,4
226,0,7,11,9,2,0,1368,360,29,1728,4
227,0,8,0,0,6,25,616,248,39,864,4
228,0,8,0,0,10,16,616,248,34,864,3
229,0,8,0,0,10,25,760,248,43,1008,4
230,0,8,0,0,14,7,616,248,29,864,3
231,0,8,0,0,14,16,760,248,38,1008,3
232,0,8,0,0,14,25,904,248,47,1152,4
233,0,8,0,0,18,7,760,248,33,1008,4
234,0,8,0,0,18,16,904,248,42,1152,4
235,0,8,0,0,22,7,904,248,37,1152,4
236,0,8,0,1,6,16,616,248,31,864,4
237,0,8,0,1,10,7,616,248,26,864,4
238,0,8,0,1,10,16,760,248,35,1008,4
239,0,8,0,1,14,7,760,248,30,1008,4
240,0,8,0,1,14,16,904,248,39,1152,4
241,0,8,0,2,2,16,616,248,28,864,4
242,0,8,0,2,6,7,616,248,23,864,4
243,0,8,0,2,6,16,760,248,32,1008,4
244,0,8,0,2,10,7,760,248,27,1008,4
245,0,8,0,2,10,16,904,248,36,1152,4
246,0,8,0,2,14,7,904,248,31,1152,4
247,0,8,0,3,2,7,616,248,20,864,4
248,0,8,0,3,2,16,760,248,29,1008,4
249,0,8,0,3,6,7,760,248,24,1008,4
250,0,8,0,3,6,16,904,248,33,1152,4
251,0,8,0,3,10,7,904,248,28,1152,4
252,0,8,0,4,2,7,760,248,21,1008,4
253,0,8,0,4,2,16,904,248,30,1152,4
254,0,8,0,4,6,7,904,248,25,1152,4
255,0,8,0,5,2,7,904,248,22,1152,4
256,0,8,4,0,13,15,708,300,40,1008,4
257,0,8,8,5,0,14,944,352,35,1296,4
258,0,8,8,6,0,5,944,352,27,1296,4
259,0,8,8,6,0,14,1088,352,36,1440,4
260,0,8,8,7,0,5,1088,352,28,1440,4
261,0,8,8,7,0,14,1232,352,37,1584,4
262,0,8,8,8,0,5,1232,352,29,1584,4
263,0,8,8,8,0,14,1376,352,38,1728,4
264,0,8,8,9,0,5,1376,352,30,1728,4
265,0,9,1,0,15,11,716,292,36,1008,4
266,0,9,9,0,29,0,1044,396,47,1440,4
267,0,9,9,4,13,0,1044,396,35,1440,4
268,0,9,9,5,9,0,1044,396,32,1440,4
269,0,9,9,5,13,0,1188,396,36,1584,4
270,0,9,9,6,5,0,1044,396,29,1440,4
271,0,9,9,6,9,0,1188,396,33,1584,4
272,0,9,9,6,13,0,1332,396,37,1728,4
273,0,9,9,7,1,0,1044,396,26,1440,4
274,0,9,9,7,5,0,1188,396,30,1584,4
275,0,9,9,7,9,0,1332,396,34,1728,4
276,0,9,9,7,13,0,1476,396,38,1872,4
277,0,9,9,8,1,0,1188,396,27,1584,4
278,0,9,9,8,5,0,1332,396,31,1728,4
279,0,9,9,8,9,0,1476,396,35,1872,4
280,0,9,9,9,1,0,1332,396,28,1728,4
281,0,9,9,9,5,0,1476,396,32,1872,4
282,0,9,9,10,1,0,1476,396,29,1872,4
283,0,9,13,7,0,8,1136,448,37,1584,4
284,0,9,13,8,0,8,1280,448,38,1728,4
285,0,9,13,9,0,8,1424,448,39,1872,4
286,0,9,13,10,0,8,1568,448,40,2016,4
287,0,9,13,11,0,8,1712,448,41,2160,4
288,0,10,2,0,16,15,816,336,43,1152,4
289,0,10,2,4,0,15,816,336,31,1152,4
290,0,10,2,5,0,6,816,336,23,1152,4
291,0,10,2,5,0,15,960,336,32,1296,4
292,0,10,2,6,0,6,960,336,24,1296,4
293,0,10,2,6,0,15,1104,336,33,1440,4
294,0,10,2,7,0,6,1104,336,25,1440,4
295,0,10,2,7,0,15,1248,336,34,1584,4
296,0,10,2,8,0,6,1248,336,26,1584,4
297,0,11,7,0,32,0,1152,432,50,1584,4
298,0,11,7,4,16,0,1152,432,38,1584,4
299,0,11,7,5,12,0,1152,432,35,1584,4
300,0,11,7,5,16,0,1296,432,39,1728,4
301,0,11,7,6,8,0,1152,432,32,1584,4
302,0,11,7,6,12,0,1296,432,36,1728,4
303,0,11,7,6,16,0,1440,432,40,1872,4
304,0,11,7,7,0,9,1152,432,34,1584,4
305,0,11,7,7,4,0,1152,432,29,1584,4
306,0,11,7,7,8,0,1296,432,33,1728,4
307,0,11,7,7,12,0,1440,432,37,1872,4
308,0,11,7,7,16,0,1584,432,41,2016,4
309,0,11,7,8,0,0,1152,432,26,1584,3
310,0,11,7,8,0,9,1296,432,35,1728,4
311,0,11,7,8,4,0,1296,432,30,1728,4
312,0,11,7,8,8,0,1440,432,34,1872,4
313,0,11,7,8,12,0,1584,432,38,2016,4
314,0,11,7,8,16,0,1728,432,42,2160,4
315,0,11,7,9,0,0,1296,432,27,1728,3
316,0,11,7,9,0,9,1440,432,36,1872,4
317,0,11,7,9,4,0,1440,432,31,1872,4
318,0,11,7,9,8,0,1584,432,35,2016,4
319,0,11,7,9,12,0,1728,432,39,2160,4
320,0,11,7,10,0,0,1440,432,28,1872,3
321,0,11,7,10,0,9,1584,432,37,2016,4
322,0,11,7,10,4,0,1584,432,32,2016,4
323,0,11,7,10,8,0,1728,432,36,2160,4
324,0,11,7,11,0,0,1584,432,29,2016,3
325,0,11,7,11,0,9,1728,432,38,2160,4
326,0,11,7,11,4,0,1728,432,33,2160,4
327,0,11,7,12,0,0,1728,432,30,2160,3
328,0,12,0,0,15,24,924,372,51,1296,4
329,0,12,0,0,19,15,924,372,46,1296,4
330,0,12,0,0,23,6,924,372,41,1296,4
331,0,12,0,0,23,15,1068,372,50,1440,4
332,0,12,0,0,27,6,1068,372,45,1440,4
333,0,12,0,0,27,15,1212,372,54,1584,4
334,0,12,0,0,31,6,1212,372,49,1584,4
335,0,12,0,0,31,15,1356,372,58,1728,4
336,0,12,0,1,15,15,924,372,43,1296,4
337,0,12,0,2,11,15,924,372,40,1296,4
338,0,12,0,2,15,6,924,372,35,1296,4
339,0,12,0,2,15,15,1068,372,44,1440,4
340,0,12,0,3,7,15,924,372,37,1296,4
341,0,12,0,3,11,6,924,372,32,1296,4
342,0,12,0,3,11,15,1068,372,41,1440,4
343,0,12,0,3,15,6,1068,372,36,1440,4
344,0,12,0,3,15,15,1212,372,45,1584,4
345,0,12,0,4,3,15,924,372,34,1296,4
346,0,12,0,4,7,6,924,372,29,1296,4
347,0,12,0,4,7,15,1068,372,38,1440,4
348,0,12,0,4,11,6,1068,372,33,1440,4
349,0,12,0,4,11,15,1212,372,42,1584,4
350,0,12,0,4,15,6,1212,372,37,1584,4
351,0,12,0,4,15,15,1356,372,46,1728,4
352,0,12,0,5,3,6,924,372,26,1296,4
353,0,12,0,5,3,15,1068,372,35,1440,4
354,0,12,0,5,7,6,1068,372,30,1440,4
355,0,12,0,5,7,15,1212,372,39,1584,4
356,0,12,0,5,11,6,1212,372,34,1584,4
357,0,12,0,5,11,15,1356,372,43,1728,4
358,0,12,0,5,15,6,1356,372,38,1728,4
359,0,12,0,6,3,6,1068,372,27,1440,4
360,0,12,0,6,3,15,1212,372,36,1584,4
361,0,12,0,6,7,6,1212,372,31,1584,4
362,0,12,0,6,7,15,1356,372,40,1728,4
363,0,12,0,6,11,6,1356,372,35,1728,4
364,0,12,0,7,3,6,1212,372,28,1584,4
365,0,12,0,7,3,15,1356,372,37,1728,4
366,0,12,0,7,7,6,1356,372,32,1728,4
367,0,12,0,8,3,6,1356,372,29,1728,4
368,0,12,12,8,0,12,1344,528,44,1872,4
